Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
858ea4ef-876d-2e12-1a32-62645b07c269,1992-12-02,,999-66-6305,S99938432,X43082809X,Mr.,Broderick767,Sang383,Franecki195,,,S,white,nonhispanic,M,Palm Springs  California  US,483 Casper Burg,Bakersfield,California,Kern County,6029.0,93203,35.37409713524475,-119.05375460427288,142738.68,32036.89,57885
677a9977-8d92-a5bf-7166-3342cff4e218,2006-06-13,,999-69-3165,S99977199,,Mr.,Mose244,Nestor901,Dare640,,,,asian,nonhispanic,M,Santa Ana  California  US,214 Jenkins Skyway Suite 30,San Jose,California,Santa Clara County,6085.0,95135,37.14887196332947,-121.58948171796804,77489.02,0.0,50126
879044f3-6833-be89-203a-abbac7db54bc,2005-09-24,,999-53-2068,S99992395,X42133339X,Ms.,Lashaun800,Maribel82,Nader710,,,,white,nonhispanic,F,Huntington Beach  California  US,925 Zemlak Track Unit 8,Mountain View Acres,California,San Bernardino County,,0,34.468552856885005,-117.38998929970072,5817.78,311296.25,15364
698f960c-bd16-516a-15a2-8ec81bfcf31d,1996-03-09,,999-53-5967,S99973762,X71383429X,Mrs.,Mercedes82,Juana825,Escobedo608,,Salazar800,M,white,hispanic,F,Buenos Aires  Ciudad de Buenos Aires  AR,430 Olson Terrace,El Cajon,California,San Diego County,6073.0,92020,32.82674144043994,-116.95983957758858,7097.1,326080.06,20142
026c61f7-59de-9fc7-84b1-5afdfd543a96,1997-06-14,,999-26-8148,S99917637,X34942723X,Ms.,Cecile401,Kimberley248,Nitzsche158,,,S,white,nonhispanic,F,Rohnert Park  California  US,358 Armstrong Street,Bellflower,California,Los Angeles County,6037.0,90706,33.9065478267114,-118.14203543375169,261364.54,635596.9,135874
f4c604e6-b7ef-f71d-1b9c-6af2be657224,1981-06-02,,999-31-1783,S99920352,X10422482X,Mr.,Enoch803,,Franecki195,,,M,white,nonhispanic,M,Pleasanton  California  US,892 Romaguera Meadow,La Presa,California,San Diego County,,0,32.73196889353417,-117.04394738078936,163839.19,56224.16,235568
3cba8831-1249-bd91-d96b-ee1e670c4f66,1981-09-28,,999-22-6184,S99910034,X69339667X,Ms.,Dolores502,Esperanza675,Cantú190,,,S,white,hispanic,F,Santiago  Santiago Province  CL,184 Donnelly Spur Apt 37,Porterville,California,Tulare County,6107.0,93257,36.09468012910886,-119.0565316154358,815233.31,489891.47,103563
950ea4df-6514-2b33-0cdf-daf4fa0927ee,1989-02-26,,999-68-4319,S99964586,X31346121X,Mr.,Leon728,Vito638,Walker122,,,S,asian,nonhispanic,M,San Jose  California  US,842 Hansen Way Apt 48,Long Beach,California,Los Angeles County,6037.0,90831,33.905958861401835,-118.1860753382563,136462.04,15071.55,115428
f7d7e5eb-e781-6f65-2b76-140c34e140f0,1986-11-14,,999-77-2290,S99971930,X21728535X,Mr.,Clemente531,Tyson541,Mertz280,,,W,white,nonhispanic,M,San Francisco  California  US,754 Mann Fork Apt 19,Berkeley,California,Alameda County,6001.0,94703,37.83943638094283,-122.32398729849994,79854.88,81389.47,291333
af19a0c2-dce7-4562-1ddd-feb51eeb55e1,1981-08-18,,999-19-7051,S99920545,X18516190X,Mr.,Porfirio146,Jody426,Heaney114,,,M,hawaiian,nonhispanic,M,Los Angeles  California  US,879 Wiza Walk Apt 93,Citrus Heights,California,Sacramento County,6067.0,95610,38.693494106477786,-121.21383821123392,82418.95,4812.16,72328
6b9efb2e-1e4b-71a7-20fe-8b2d7bacf97a,2022-01-22,,999-31-4647,,,,Gregorio366,Lonnie913,Bosco882,,,,native,hispanic,M,Blackhawk  California  US,154 Toy Ville,Lemon Grove,California,San Diego County,6073.0,91941,32.725177687708296,-117.02458719072412,834.05,9225.08,17938
